dbp,num_peaks,total_peak_length,peaks_overlapping_promoters,peaks_overlapping_lncrna_promoters,peaks_overlapping_mrna_promoters,peaks_overlapping_genebody,peaks_overlapping_lncrna_genebody,peaks_overlapping_mrna_genebody
ADNP,6110,2697859,2156,440,1716,4561,886,3675
AFF4,16581,18315574,11299,2569,8730,18883,3803,15080
AHDC1,13416,7718448,4160,1149,3011,12110,3013,9097
AHR,25233,51257515,14289,3515,10774,27466,5794,21672
AKAP8,35576,53794522,15707,4007,11700,38132,6691,31441
ARID3A,23119,9057371,4435,1228,3207,19368,4415,14953
ARID4A,23712,34431405,14601,3362,11239,26541,4999,21542
ARID4B,53026,48908143,16441,4280,12161,49669,10051,39618
ARID5B,82378,70665710,17894,4955,12939,70355,15989,54366
ARNTL,24991,23230524,13628,3177,10451,26149,5489,20660
ASH2L,5675,8998144,5523,1169,4354,7602,1516,6086
ATAD3A,27820,34221375,14292,3455,10837,28991,5383,23608
ATF2,35051,29458452,14625,3555,11070,34383,7262,27121
ATF3,2807,2957267,2606,515,2091,3641,702,2939
ATF5,11227,8284176,9872,2119,7753,13383,2590,10793
ATF6,18550,12525885,12208,2718,9490,20140,4102,16038
ATF7,22283,31039177,13069,3124,9945,23867,5027,18840
BCL3,37417,47096036,16215,4070,12145,37065,7815,29250
BCL6,63350,47856649,17148,4527,12621,56469,12415,44054
BHLHE40,1132,441523,584,146,438,1071,219,852
BRCA1,1002,1208438,1302,251,1051,1505,266,1239
CAMTA2,2030,2792882,2350,548,1802,2856,586,2270
CBFB,25969,19986408,14474,3347,11127,27124,5582,21542
CBX5,50983,56935811,16895,4468,12427,46929,9882,37047
CEBPA,81114,43895700,15175,4143,11032,67487,15034,52453
CEBPB,12195,3965049,1714,515,1199,9824,2230,7594
CEBPD,42745,32119423,15790,3899,11891,39947,8274,31673
CEBPG,70414,36860818,16208,4294,11914,60902,12861,48041
CERS6,1167,526953,1195,251,944,1375,249,1126
CHD2,8296,4111600,7761,1618,6143,9830,1775,8055
CREB3,4382,2272227,4555,975,3580,5485,1009,4476
CREM,1694,676864,2092,415,1677,2257,401,1856
CTCF,28702,18555039,3848,1337,2511,22145,5250,16895
DBP,1787,775950,1810,396,1414,2174,400,1774
DDIT3,2344,1252471,2079,438,1641,2725,541,2184
DLX6,19392,9703828,9316,2180,7136,19279,4169,15110
DMAP1,25584,26368220,14148,3297,10851,27091,5653,21438
DMTF1,4305,3174813,4239,919,3320,5386,1046,4340
DNMT1,37871,43257894,17056,4388,12668,38411,7433,30978
DPF2,21979,13134273,5932,1693,4239,19515,4260,15255
DRAP1,33644,27524225,14948,3551,11397,33405,6917,26488
DZIP1,7663,11052466,8049,1790,6259,10182,1977,8205
E2F1,7011,4331007,7775,1575,6200,9147,1679,7468
