gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSG00000000457.14,275.21456709356636,-1.193476918152685,0.22844225353866965,-5.224414046286138,1.7470745779252004e-7,8.079880761315572e-7,SCYL3
ENSG00000001167.14,507.5521731475271,-1.1013975707770438,0.17621245337387612,-6.25039575630997,4.0941392125796265e-10,2.314909044106165e-9,NFYA
ENSG00000001626.15,6.008393045558011,-5.295518713287919,1.9120700971791769,-2.7695212226268526,0.005613874682310667,0.013883511821716425,CFTR
ENSG00000003436.16,3013.148731425432,-1.935000738000748,0.10568939640201225,-18.308371547894534,7.096036878420484e-75,2.286848741690322e-73,TFPI
ENSG00000003987.14,118.33963313866252,-4.9549590365813865,0.5738708841567447,-8.634275014426432,5.910065828837746e-18,5.0612546009603337e-17,MTMR7
ENSG00000003989.17,1003.5887886149201,-1.865411877544508,0.13242179486244787,-14.086894679853799,4.5722925560867266e-45,8.774991463889776e-44,SLC7A2
ENSG00000004700.16,286.6623409685573,-1.4810213240598904,0.2141393782318304,-6.9161558994372125,4.6406369315448894e-12,2.9567148136523184e-11,RECQL
ENSG00000005175.10,234.7810489336661,-1.3919083940085637,0.2508351874169269,-5.549095437296031,2.8715140403731727e-8,1.41794918117652e-7,RPAP3
ENSG00000005187.12,1603.0135011933676,-1.9094517877850663,0.1167804081990923,-16.350788777255772,4.293856060282881e-60,1.0857580792973747e-58,ACSM3
ENSG00000005801.18,708.5009090938851,-1.0691453576382794,0.14738037594472841,-7.254326437864683,4.03665517400562e-13,2.738577368106827e-12,ZNF195
ENSG00000005812.11,212.6234931644195,-1.0175872241757888,0.2514991156332182,-4.046086689465023,5.20809528106879e-5,1.8476734757663052e-4,FBXL3
ENSG00000005893.15,1001.8629737947178,-2.0126629611444184,0.1427107100356175,-14.10309682182999,3.6346303180699704e-45,6.988901547379374e-44,LAMP2
ENSG00000005981.13,39.30741001640698,-3.6404641426675113,0.7211799659900489,-5.047927444392908,4.4662868990421226e-7,1.99041624695478e-6,ASB4
ENSG00000006210.7,944.7947656219193,-1.06715269417451,0.13446681692227344,-7.936178743573307,2.085054664946879e-15,1.583573100300472e-14,CX3CL1
ENSG00000006459.11,691.5075958628662,-1.096999465045312,0.16802412691007526,-6.528821099796071,6.628937127874616e-11,3.944817107363111e-10,KDM7A
ENSG00000006715.16,497.2586642543794,-1.6328962034285277,0.17514260599575918,-9.323238021638584,1.1284284858717492e-20,1.0660782719632155e-19,VPS41
ENSG00000007062.11,71.63635421276928,-1.772597986432663,0.4334793422910935,-4.0892328964601825,4.3280213132697234e-5,1.554795177561582e-4,PROM1
ENSG00000007202.15,1677.1781896975003,-1.26169415961967,0.11021856416335658,-11.447201922805801,2.4285860683778126e-30,3.161279926137536e-29,KIAA0100
ENSG00000007384.15,62.11484177127229,-1.2055095866593528,0.45666362231220753,-2.639819612859772,0.008295016593074337,0.019709881093654968,RHBDF1
ENSG00000007944.15,78.557745525686,-2.1952979690441228,0.41958253918921956,-5.2321003950407645,1.6759467815421165e-7,7.766006917286708e-7,MYLIP
ENSG00000008083.14,306.22702981991847,-1.2776504802608248,0.21351181121070775,-5.983980338211612,2.1774961114251e-9,1.1643517785310961e-8,JARID2
ENSG00000008086.12,617.9682660949671,-1.1102064390602941,0.15177769348518247,-7.3146877750430415,2.5798052455786967e-13,1.7674322482238124e-12,CDKL5
ENSG00000008226.20,76.15277158501277,-2.912601157783566,0.5100188608606383,-5.7107714661153075,1.1246518596326503e-8,5.709844331955556e-8,DLEC1
ENSG00000008277.14,235.70913986023214,-2.1973766585966037,0.25220810113982584,-8.712553834178243,2.9710413581475374e-18,2.5797565899529908e-17,ADAM22
ENSG00000008300.17,239.4701489925086,-2.3701393112510365,0.2595012016577907,-9.133442527856134,6.635497916772263e-20,6.092001598596897e-19,CELSR3
ENSG00000010072.16,162.92958928676563,-1.199145886160351,0.2884203697509212,-4.157632441827632,3.215628534224906e-5,1.1757780005637452e-4,SPRTN
