"","gene_id","gene_name","gene_type","chr","X1kb_up_tss_start","strand","number_of_dbp","tpm_homo_sapiens_hepg2","tpm_homo_sapiens_membrane_fraction","tpm_homo_sapiens_insoluble_cytoplasmic_fraction","tpm_homo_sapiens_cytosolic_fraction","tpm_homo_sapiens_nuclear_fraction"
"1","ENSG00000000003.15","TSPAN6","protein_coding","chrX",100638992,"-",0,55.7828495,12.6911505,51.6564635,1.7311095,32.642513
"2","ENSG00000000005.6","TNMD","protein_coding","chrX",100583936,"+",0,0.060359,0,0.0450335,0.0013655,0.347933
"3","ENSG00000000419.12","DPM1","protein_coding","chr20",50957556,"-",307,90.916492,9.755567,148.972875,1.4389005,44.218451
"4","ENSG00000000457.14","SCYL3","protein_coding","chr1",169893268,"-",270,3.333232,0.6434855,4.6814705,0.0976375,5.93925
"5","ENSG00000000460.17","C1orf112","protein_coding","chr1",169661007,"+",12,14.17359,3.8588695,22.514187,0.6142715,15.031997
"6","ENSG00000000938.13","FGR","protein_coding","chr1",27634186,"-",10,0.009555,0.019689,0,0.013702,0
"7","ENSG00000000971.15","CFH","protein_coding","chr1",196650878,"+",0,0.0424625,0.0023055,0.013084,0.000188,0.0968255
"8","ENSG00000001036.14","FUCA2","protein_coding","chr6",143510721,"-",356,67.2406945,10.580313,40.9670395,1.0350225,45.7212035
"9","ENSG00000001084.13","GCLC","protein_coding","chr6",53615971,"-",204,31.7165915,9.002814,48.006963,0.7072055,34.9493015
"10","ENSG00000001167.14","NFYA","protein_coding","chr6",41071945,"+",342,9.32513,4.5563105,31.426803,0.2064485,10.5379865
"11","ENSG00000001460.18","STPG1","protein_coding","chr1",24415935,"-",171,2.500102,1.1596255,2.5928165,0.1717155,3.117304
"12","ENSG00000001461.17","NIPAL3","protein_coding","chr1",24414802,"+",211,2.9274095,1.26571,3.5399735,0.114171,2.867275
"13","ENSG00000001497.16","LAS1L","protein_coding","chrX",65533776,"-",179,12.5081715,2.5436695,24.341776,0.349015,6.55268
"14","ENSG00000001561.7","ENPP4","protein_coding","chr6",46128989,"+",11,0.3345925,0.028762,0.304027,0.0020305,0.2695185
"15","ENSG00000001617.12","SEMA3F","protein_coding","chr3",50154045,"+",176,4.627193,2.1096055,2.8774965,0.1252615,4.112668
"16","ENSG00000001626.15","CFTR","protein_coding","chr7",117464784,"+",0,4.9364635,0.8476265,1.936475,0,8.5506415
"17","ENSG00000001629.10","ANKIB1","protein_coding","chr7",92244974,"+",306,11.13609,11.5407105,15.9604585,4.37926,13.992024
"18","ENSG00000001630.17","CYP51A1","protein_coding","chr7",92133804,"-",339,146.329402,27.5981545,157.9411675,2.4224045,77.6576765
"19","ENSG00000001631.15","KRIT1","protein_coding","chr7",92245167,"-",307,18.2886705,4.4098205,19.2085385,0.621654,26.1909915
"20","ENSG00000002016.18","RAD52","protein_coding","chr12",989054,"-",357,10.4877195,2.654606,8.7261185,0.4463395,11.9629055
"21","ENSG00000002330.13","BAD","protein_coding","chr11",64283705,"-",256,16.2754965,22.194008,27.2500675,5.8265525,6.384859
"22","ENSG00000002549.12","LAP3","protein_coding","chr4",17576192,"+",339,55.1021055,7.243845,116.70625,0.7463385,26.7252705
"23","ENSG00000002586.20","CD99","protein_coding","chrX",2690187,"+",0,54.815332,28.563095,41.674847,4.1924845,43.6180615
"24","ENSG00000002587.10","HS3ST1","protein_coding","chr4",11428565,"-",19,0.008495,0.006883,0.0053315,0.00166,0.049855
"25","ENSG00000002726.20","AOC1","protein_coding","chr7",150823627,"+",1,0.134033,0.037344,0.0440075,0.010909,0.315501
"26","ENSG00000002745.13","WNT16","protein_coding","chr7",121324367,"+",0,0.013033,0.0096655,0,0,0.032386
"27","ENSG00000002746.15","HECW1","protein_coding","chr7",43111629,"+",12,2.202151,0.5063245,0.2161995,0.011567,4.1718125
"28","ENSG00000002822.15","MAD1L1","protein_coding","chr7",2232244,"-",275,19.457145,7.439298,25.6712275,2.602452,12.42803
"29","ENSG00000002834.18","LASP1","protein_coding","chr17",38868859,"+",344,42.731028,12.2479255,70.0628555,0.7568035,26.5272955
"30","ENSG00000002919.14","SNX11","protein_coding","chr17",48102357,"+",39,9.2564115,5.542549,12.841837,0.5627495,11.734885
"31","ENSG00000002933.9","TMEM176A","protein_coding","chr7",150799403,"+",4,0.021053,0,0,0,0.122693
"32","ENSG00000003056.8","M6PR","protein_coding","chr12",8948762,"-",329,51.526046,14.9629785,47.710328,1.508315,42.880106
"33","ENSG00000003096.14","KLHL13","protein_coding","chrX",118116341,"-",25,0.8562315,0.1677025,1.945197,0.0114405,0.404948
"34","ENSG00000003137.8","CYP26B1","protein_coding","chr2",72147039,"-",42,0.094449,0.016042,0.0321505,0,0.0413715
"35","ENSG00000003147.19","ICA1","protein_coding","chr7",8261688,"-",52,0.6433005,0.2154115,0.316388,0.0172175,1.2249795
"36","ENSG00000003249.13","DBNDD1","protein_coding","chr16",90019129,"-",258,7.3039225,14.5464345,8.596826,1.8644655,3.321723
"37","ENSG00000003393.15","ALS2","protein_coding","chr2",201779957,"-",306,11.9972495,3.401413,18.3690675,0.704974,15.5730815
"38","ENSG00000003400.14","CASP10","protein_coding","chr2",201181881,"+",227,14.36078,3.2479795,19.8731165,0.516744,15.9743575
"39","ENSG00000003402.20","CFLAR","protein_coding","chr2",201115154,"+",374,55.039682,18.4975945,75.738885,3.308182,64.0286165
"40","ENSG00000003436.16","TFPI","protein_coding","chr2",187564761,"-",9,129.649734,14.931358,122.582937,1.764971,127.1999875
"41","ENSG00000003509.16","NDUFAF7","protein_coding","chr2",37230631,"+",331,20.8245805,2.7380545,28.301884,0.4255855,21.1329575
"42","ENSG00000003756.17","RBM5","protein_coding","chr3",50087919,"+",238,53.1684075,7.273055,36.4025975,1.6945425,82.222962
"43","ENSG00000003987.14","MTMR7","protein_coding","chr8",17412529,"-",3,1.43897,0.1528065,0.2790205,0.005056,5.430157
"44","ENSG00000003989.17","SLC7A2","protein_coding","chr8",17496088,"+",303,21.0916525,3.8385495,24.2815895,0.2163175,18.960368
"45","ENSG00000004059.11","ARF5","protein_coding","chr7",127587386,"+",253,56.721592,30.7381645,70.677102,5.645447,24.6648405
"46","ENSG00000004139.14","SARM1","protein_coding","chr17",28363356,"+",11,0.780889,0.4212125,0.212009,0.0680045,1.245226
"47","ENSG00000004142.12","POLDIP2","protein_coding","chr17",28356528,"-",335,42.65206,32.75425,75.8023825,3.9486865,16.5193035
"48","ENSG00000004399.12","PLXND1","protein_coding","chr3",129605819,"-",259,5.093511,3.9670795,10.4201345,0.761104,9.543433
"49","ENSG00000004455.17","AK2","protein_coding","chr1",33079997,"-",223,83.1979365,19.302701,170.1488075,3.9270715,37.6678865
"50","ENSG00000004468.13","CD38","protein_coding","chr4",15777275,"+",44,0.0857655,0.01576,0.0229395,0.0012495,0.255216
"51","ENSG00000004478.8","FKBP4","protein_coding","chr12",2793970,"+",266,32.507053,9.264858,49.330309,1.6264535,19.500208
"52","ENSG00000004487.16","KDM1A","protein_coding","chr1",23018443,"+",344,69.8295685,15.350954,123.507311,1.892151,35.6761995
"53","ENSG00000004534.15","RBM6","protein_coding","chr3",49939007,"+",328,33.4053455,8.147912,24.215406,1.742395,41.6986225
"54","ENSG00000004660.15","CAMKK1","protein_coding","chr17",3893892,"-",64,0.676562,0.26742,0.5750025,0.0209085,0.706935
"55","ENSG00000004700.16","RECQL","protein_coding","chr12",21500670,"-",245,20.89884,1.9506525,51.4149325,0.134544,11.5216155
"56","ENSG00000004766.17","VPS50","protein_coding","chr7",93231340,"+",205,16.8366365,3.262851,21.160047,0.8331085,27.559567
"57","ENSG00000004776.13","HSPB6","protein_coding","chr19",35757080,"-",208,0.1743135,0.10101,0.134886,0.02123,0.8559975
"58","ENSG00000004777.18","ARHGAP33","protein_coding","chr19",35773532,"+",137,1.7399605,0.5895385,0.983471,0.0547855,2.476639
"59","ENSG00000004779.10","NDUFAB1","protein_coding","chr16",23595317,"-",366,341.751909,84.931404,687.692766,15.6067035,79.181121
